CVE ID,Vulnerability Type,Ported,Component,Bug ID,Report,Fix,Notes
CVE-2019-11039,Out of bound read,False,ext,MAE009,Trigger https://bugs.php.net/bug.php?id=77950,Fix http://git.php.net/?p=php-src.git;a=blobdiff;f=ext/iconv/iconv.c;h=b4a2abe08d9a02e9e6c07f51a8f4ebe895f0d003;hp=f86d0ae031987a12d45b9c10efc255f58262966b;hb=7cf7148a8f8f4f55fb04de2a517d740bb6253eac;hpb=ed6dee9a198c904ad5e03113e58a2d2c200f5184,
CVE-2019-11040,"Heap buffer overflow, out of bound read",False,ext,MAE010,Trigger https://bugs.php.net/bug.php?id=77950,Fix http://git.php.net/?p=php-src.git;a=blobdiff;f=ext/exif/exif.c;h=605b37923f888d320a87947a58f19fd2122475e8;hp=d174def80c1355fc54d09a0ae754ced64d85768d;hb=73ff4193be24192c894dc0502d06e2b2db35eefb;hpb=16e037bd46359a31f218ee220ff09f1c3270e489,
CVE-2017-7189,Security issue,False,,,,,Bug report marked as private.
CVE-2018-20783,Read out of bound,False,ext,MAE011,Trigger https://bugs.php.net/bug.php?id=77143,Fix http://git.php.net/?p=php-src.git;a=blobdiff;f=ext/phar/phar.c;h=47ff8cd790730dbc3520e47faa86327e2987a238;hp=780be432570e80dd34c1a9c217ef87ade22bf136;hb=48f0f73f75c0059ba5d9b73cb4e5faeeaea49c47;hpb=7edc639b9ff1c3576773d79d016abbeed1f93846,
CVE-2019-9022,Read out of bound,False,ext,MAE012,Trigger https://bugs.php.net/bug.php?id=77369,Fix http://git.php.net/?p=php-src.git;a=commitdiff;h=8d3dfabef459fe7815e8ea2fd68753fd17859d7b;hp=31f59e1f3074ab344b473dde6077a6844ca87264,
CVE-2019-9024,Read out of bound,False,ext,MAE013,Trigger https://bugs.php.net/bug.php?id=77380,Fix http://git.php.net/?p=php-src.git;a=blobdiff;f=ext/xmlrpc/libxmlrpc/base64.c;h=a4fa19327b76dc43880934bfd703500aeae35c52;hp=5ebdf31f7adeb9fd5f9f69b37d86ce22e4d05ce4;hb=1cc2182bcc81e185c14837e659d12b268cb99d63;hpb=28362ed4fae6969b5a8878591a5a06eadf114e03,
CVE-2019-9637,File is briefly accessible with the wrong permissions,False,,,,,??? Not sure how to find trigger condition in system.
CVE-2019-9638,Uninitialized read,False,ext,MAE014,Trigger https://bugs.php.net/bug.php?id=77563,Fix http://git.php.net/?p=php-src.git;a=blobdiff;f=ext/exif/exif.c;h=fe89b854711879274555bdc762ea6e7fa518fa59;hp=ea88a8f115e8a366f5f7419a01b1acf58260d420;hb=8ac6fee8562533a15db90062117210ed28b44fea;hpb=5f0e62a3e5b525163e538aaab0161c2c8c5d057b,
CVE-2019-9639,Uninitialized read,False,ext,,,,In the same patch as bugMAE014 but somehow the fix isn't there anymore.
CVE-2019-9640,Invalid read,False,ext,MAE015,Trigger https://bugs.php.net/bug.php?id=77540,Fix http://git.php.net/?p=php-src.git;a=blobdiff;f=ext/exif/exif.c;h=ea88a8f115e8a366f5f7419a01b1acf58260d420;hp=b4563927a5058e93ad55074fe367e4bac0ef987e;hb=5f0e62a3e5b525163e538aaab0161c2c8c5d057b;hpb=5e824a88d073d282c4f358f186cb87ddc284f83d,
CVE-2019-11038,,False,,,,,Bug in graphical extension.
CVE-2018-19935,Null ptr deref and crash,False,ext,,,,Code not present anymore.
CVE-2018-19396,Null pointer dereference and application crash,False,,,,,??? Not sure how to find trigger condition in system.
CVE-2018-19395,,False,,,,,??? Not sure how to find trigger condition in system.
CVE-2018-17082,,False,,,,,Bug in component Apache2.
CVE-2018-14883,Heap-based buffer over-read,False,ext,MAE016,Trigger https://bugs.php.net/bug.php?id=76423,Fix http://git.php.net/?p=php-src.git;a=blobdiff;f=ext/exif/exif.c;h=1147980f7730de0dfd13904a2ea6461bbf4eded8;hp=e535278fc9664f5b7e5ddcdb6baec07426b8efd6;hb=1baeae42703f9b2ec21fff787146eeca08d45535;hpb=fe3d53f4437718fad63850695970dddd63144af5,
CVE-2018-7584,Stack-based buffer under-read,False,ext,MAE017,Trigger https://bugs.php.net/bug.php?id=75981,Fix http://git.php.net/?p=php-src.git;a=blobdiff;f=ext/standard/http_fopen_wrapper.c;h=75d21c0761658cf32ac8960eb47bd9ec1d2cfa52;hp=f6b0368d4ef423efbc366b29214f1f69e8ad3878;hb=7cf491b661ee57a11b79f99416c6296bae2f27a0;hpb=8354a831031167c715898a8af09a2a743784ab6b,
CVE-2017-9120,Buffer overflow and application crash,False,ext,,,,Fix isn't even in the code.
CVE-2017-11362,Stack-based buffer overflow,False,ext,MAE018,Trigger https://bugs.php.net/bug.php?id=74603,Fix http://git.php.net/?p=php-src.git;a=commitdiff;h=95c4564f939c916538579ef63602a3cd31941c51;hp=9c5717d0decd56710129a5599fe5d38f82a7bab2,
CVE-2014-9912,Buffer overflow,False,ext,MAE019,Trigger https://bugs.php.net/bug.php?id=67397,Fix http://git.php.net/?p=php-src.git;a=blobdiff;f=ext/intl/locale/locale_methods.c;h=0597182bdc69ea3c089fb269d8be7758d2daa57d;hp=8eb663cb167d6044f6051a3e2fd9952c3c213982;hb=2a29add9e41cf98eb516be6bafd66a13cb42b9b3;hpb=5ecee6ebce576142fd13d2d1ec0bd52dac3086f9,
CVE-2016-10159,Integer overflow,False,ext,MAE020,Trigger https://bugs.php.net/bug.php?id=73764,Fix https://github.com/php/php-src/commit/ca46d0acbce55019b970fcd4c1e8a10edfdded93,
CVE-2016-7414,,False,ext,MAE021,Trigger https://bugs.php.net/bug.php?id=72928,Fix https://github.com/php/php-src/commit/0bfb970f43acd1e81d11be1154805f86655f15d5?w=1,  
