CVE ID,Vulnerability Type,Ported,Component,Bug ID,Report,Fix,Notes
CVE-2015-0286,Not a proper boolean type comparisons which can lead to dos and to invalid read operation,True,asn1,MAE109,SecAdv https://www.openssl.org/news/secadv/20150319.txt,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=c3c7fb07dc975dc3c9de0eddb7d8fd79fc9c67c1;hp=b19d8143212ae5fbc9cebfd51c01f802fabccd33,
CVE-2015-0287,Memory corruption and invalid write,False,asn1,,,,Could be implemented but trigger condition can happen any time.
CVE-2015-0289,Null ptr deref via providing malformed data,True,pkcs7,MAE110,SecAdv https://www.openssl.org/news/secadv/20150319.txt,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=c0334c2c92dd1bc3ad8138ba6e74006c3631b0f9;hp=c3c7fb07dc975dc3c9de0eddb7d8fd79fc9c67c1,
CVE-2015-0290,Ptr corruption and app rash via unspecified vectors,False,ssl,,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=77c77f0a1b9f15b869ca3342186dfbedd1119d0e;hp=8b84495380098592ef7bb2fa9209ccb87803bf1d,,File not present anymore.
CVE-2015-1787,Daemon crash vis clientkeyexchange message with length 0,False,ssl,,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=b19d8143212ae5fbc9cebfd51c01f802fabccd33;hp=76343947ada960b6269090638f5391068daee88d,,File not present anymore.
CVE-2015-1788,Infinite loop (only in sessions that are using elliptic curve alg),True,bn,MAE111,SecAdv https://www.openssl.org/news/secadv/20150611.txt,Git https://github.com/openssl/openssl/commit/4924b37ee01f71ae19c94a8934b80eeb2f677932,
CVE-2015-1789,Out of bound read possible and app crash,False,X509,,,,Trigger condition isn't clear.
CVE-2015-1791,Double free (multithreading),False,ssl,,Git https://github.com/openssl/openssl/commit/98ece4eebfb6cd45cc8d550c6ac0022965071afc,,File not present anymore.
CVE-2015-1793,Uninteded certificate validation due  a bad contraint process,False,X509,,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=9a0db453ba017ebcaccbee933ee6511a9ae4d1c8;hp=cb6e0ed17a61ae3711d385f517d61be2b4c33a55,,The corresponding file doesn't include the changed code lines anymore.
CVE-2015-1794,Seg fault due to a zero p value during key exchange,False,ssl,,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=ada57746b6b80beae73111fe1291bf8dd89af91c;hp=5d786e9e2d08900cb823b73b0095f85eb2cedc7e,,File not present anymore.
CVE-2015-3193,Private key information leak ,False,bn,,,,"Assembly file, hard to find trigger condition."
CVE-2015-3194,Null ptr dereference and app crash via a lack of a mask gen function param,False,rsa,,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=d8541d7e9e63bf5f343af24644046c8d96498c17;hp=b29ffa392e839d05171206523e84909146f7a77c,,The corresponding file doesn't include the changed code lines anymore.
CVE-2015-3195,Error mishandled which allows to obtain information from process memory,False,asn1,,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=cc598f321fbac9c04da5766243ed55d55948637d;hp=fb4f46763fed3c600db21974577061b611b6fa46,,The corresponding file doesn't include the changed code lines anymore.
CVE-2015-3196,Double free (multithreading),False,ssl,,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=3c66a669dfc7b3792f7af0758ea26fe8502ce70c;hp=f8f75a7e4a7746caba9cab843e14ed6a41dfad21,,File not present anymore.
CVE-2015-3216,Race condition (multithreaded server),False,,,,,Didn't found the git commit.
CVE-2015-4000,Rwwriting a clienthello (logjam issue),False,,,,,Didn't found the git commit.
CVE-2016-7052,Null ptr dereference and app crash by triggering a crl operation,True,X509,MAE112,SecAdv https://www.openssl.org/news/secadv/20160926.txt ,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=6e629b5be45face20b4ca71c4fcbfed78b864a2e;hp=f15a7e39a1f7d41716ca5f07faef74f55147d2cf,
CVE-2016-6308, memory consumption via crafted dtls message,True,ssl/statem,MAE113,SecAdv https://www.openssl.org/news/secadv/20160922.txt,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=df6b5e29ffea2d5a3e08de92fb765fdb21c7a21e;hp=4b390b6c3f8df925dc92a3dd6b022baa9a2f4650,
CVE-2016-6307,Memory consumption via crafted tls message,False,ssl/statem,,,,Possible to implement but trigger condition isn't clear.
CVE-2016-6305,Infinite loop with a zero length record,True,ssl/record,MAE114,SecAdv https://www.openssl.org/news/secadv/20160922.txt,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=63658103d4441924f8dbfc517b99bb54758a98b9;hp=6d32c2ae28952b5c1d7a24968e488532fcadc51a,
CVE-2016-6302,Can cause a ddos via a ticket that is to short,True,ssl,MAE115,SecAdv https://www.openssl.org/news/secadv/20160922.txt,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=e97763c92c655dcf4af2860b3abd2bc4c8a267f9;hp=652c52a602b4c88cfadb99e85ef175441b7f5d18,
CVE-2016-2180,Out of bounds read and application crash via a crafted time-stamp,False,ts,,,,Don't know what's the trigger condition.
CVE-2016-2181,Memory consumption by maintaing many dtls sessions (crafted) on server,False,ssl,,,,Not sure about the trigger condition.
CVE-2016-2182,Operation doesn't run in constant time which allows side channel attacks,False,crypto,,,,I don't think that this bug can be triggered by a fuzzer as it is a specific attack.
CVE-2016-2183,Wrong memory allocation -> plaintext information !comes from an incorrect fix from cve-2013-0169.,False,crypto,,,,"Depends on an other fix, hard to find trigger condition."
CVE-2016-2184,Makes tls decryption easier for remote attackers,False,-,,,,Didn't found the git commit
CVE-2016-2185,Incorect master_key overwrite,False,ssl,,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=ae50d8270026edf5b3c7f8aaa0c6677462b33d97;hp=ff864ffef33b4b09bb31ca3b0e17e1c85b65c2c8,,File not present anymore.
CVE-2016-2186,Allows non-zero keys and allows man-in the middle attacks,False,ssl,,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=ae50d8270026edf5b3c7f8aaa0c6677462b33d97;hp=ff864ffef33b4b09bb31ca3b0e17e1c85b65c2c8,,
CVE-2016-2187,Retrieve rsa key from cache bank attack (cache bleed),False,bn,,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=708dc2f1291e104fe4eef810bb8ffc1fae5b19c1;hp=bc38a7d2d3c6082163c50ddf99464736110f2000,,
CVE-2016-2188,Innapropriate dh prime number choice,False,ssl,,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=c5b831f21d0d29d1e517d139d9d101763f60c9a2;hp=878e2c5b13010329c203f309ed0c8f2113f85648,,File not present anymore.
CVE-2016-2189,Allows use of disabled ciphers,False,ssl,,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=d81a1600588b726c2bdccda7efad3cc7a87d6245;hp=3665fa25436f55f9ed401ae92c2f3862fb10d952,,File not present anymore.
CVE-2016-2190,"Bad use of c bitwise shift, allows remote attackers to defeat crypto protection",False,rsa,,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=db82b8f9bd432a59aea8e1014694e15fc457c2bb;hp=a9ef75c50d35afc115d443ddc7dd35956fc5a2ef,,The corresponding file doesn't include the changed code lines anymore.
CVE-2016-2191,Overflow duuring multiplication,False,bn,,Git https://www.cvedetails.com/cve/CVE-2017-3738/,,"Assembly file, hard to find trigger condition."
CVE-2016-2192,Incorrect error trigger,False,ssl,,Git https://github.com/openssl/openssl/commit/898fb884b706aaeb283de4812340bb0bde8476dc,,
CVE-2016-2193,Carry propagating bug. ! not belived likely that an attack can result from this,False,bn,,Git https://github.com/openssl/openssl/commit/4443cf7aa0099e5ce615c18cee249fff77fb0871,,May not be relevant.
CVE-2016-2194,Crash of the application (client and server) during a handshake renegotiation,False,ssl,,Git https://github.com/openssl/openssl/commit/4ad93618d26a3ea23d36ad5498ff4f59eff3a4d2,,Code is partially not there anymore.
CVE-2016-2195,Carry propagating bug. ! not belived likely that an attack can result from this,False,bn,,Git https://github.com/openssl/openssl/commit/a59b90bf491410f1f2bc4540cc21f1980fd14c5b,,May not be relevant.
CVE-2016-2196,Out of bound read leads to app crash,False,evp,MAE116,SecAdv https://www.openssl.org/news/secadv/20170126.txt,Git https://github.com/openssl/openssl/commit/00d965474b22b54e4275232bc71ee0c699c5cd21,
CVE-2016-2197,Cpu ressource exhaustion from alert packets,False,ssl,,,,"Could be implemented but the trigger condition is not clear, could be if #alerts == MAX_ALERTS but this would lead to not remove the fixes."
CVE-2016-2198,Carry propagating bug. ! not belived likely that an attack can result from this,False,,,,,No git commit.
CVE-2016-2199,Corruption of larger payloads result in app crash (not exploitable beyond dos),False,,,,,No git commit.
CVE-2016-2200,Null ptr deref,False,,,,,No git commit.
